"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2223","Login successful","tests.auth.login","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","1575","Login with wrong email or password:","tests.auth.login","2026-09-26","passed","2026-09-26","TestLoginNegative","test_login_negative","",""
"","1536","✔ Check empty courses list UI","tests.courses.courses_list","2026-09-26","passed","2026-09-26","TestCourses","test_courses","",""
"","3405","Edit course","tests.courses.create_course","2026-09-26","passed","2026-09-26","TestEditCourse","test_edit_course","",""
"","1366","Login with wrong email or password:","tests.auth.login","2026-09-26","passed","2026-09-26","TestLoginNegative","test_login_negative","",""
"","1381","Login with wrong email or password:","tests.auth.login","2026-09-26","passed","2026-09-26","TestLoginNegative","test_login_negative","",""
"","1984","✔ Check Dashboard page UI","tests.dashboard","2026-09-26","passed","2026-09-26","TestDashboard","test_dashboard","",""
"","1757","Registration successful","tests.auth.registration","2026-09-26","passed","2026-09-26","TestRegistration","test_registration","",""
"","1207","Login-link redirect","tests.auth.registration","2026-09-26","passed","2026-09-26","TestRegistration","test_registration","",""
"","1166","Registration-link redirect","tests.auth.login","2026-09-26","passed","2026-09-26","TestLogin","test_login","",""
"","2275","Create course","tests.courses.create_course","2026-09-26","passed","2026-09-26","TestCreateCourse","test_create_course","",""
