INFO | PAGE    : ⿹ Open page URL: #/courses/create
INFO | ELEMENT : ▶ Upload "image_1.jpg" via [Upload image input]
INFO | ELEMENT : ▶ Fill [Title input field] with value: "eltit esruoc tset yM"
INFO | ELEMENT : ▶ Fill [Estimated time input field] with value: "emit detamitse esruoc tset yM"
INFO | ELEMENT : ▶ Fill [Description input field] with value: "noitpircsed esruoc tset yM"
INFO | ELEMENT : ▶ Fill [Max score input field] with value: "100"
INFO | ELEMENT : ▶ Fill [Min score input field] with value: "10"
INFO | ELEMENT : ▶ Click [Create course button]
INFO | PAGE    : ✔ Check current page URL is "#/courses"
INFO | ELEMENT : ✔ Check [Menu button] is visible
INFO | ELEMENT : ✔ Check [Menu button] is enabled
INFO | ELEMENT : ✔ Check [Image] is visible
INFO | ELEMENT : ✔ Check [Title] is visible
INFO | ELEMENT : ✔ Check [Title] text: "eltit esruoc tset yM"
INFO | ELEMENT : ✔ Check [Max score] is visible
INFO | ELEMENT : ✔ Check [Max score] text: "Max score: 100"
INFO | ELEMENT : ✔ Check [Min score] is visible
INFO | ELEMENT : ✔ Check [Min score] text: "Min score: 10"
INFO | ELEMENT : ✔ Check [Estimated time] is visible
INFO | ELEMENT : ✔ Check [Estimated time] text: "Estimated time: emit detamitse esruoc tset yM"
INFO | ELEMENT : ▶ Click [Menu button]
INFO | ELEMENT : ▶ Click [Edit button]
INFO | ELEMENT : ▶ Upload "image_2.jpg" via [Upload image input]
INFO | ELEMENT : ▶ Fill [Title input field] with value: "MY TEST COURSE TITLE"
INFO | ELEMENT : ▶ Fill [Estimated time input field] with value: "MY TEST COURSE ESTIMATED TIME"
INFO | ELEMENT : ▶ Fill [Description input field] with value: "MY TEST COURSE DESCRIPTION"
INFO | ELEMENT : ▶ Fill [Max score input field] with value: "500"
INFO | ELEMENT : ▶ Fill [Min score input field] with value: "50"
INFO | ELEMENT : ▶ Click [Create course button]
INFO | PAGE    : ✔ Check current page URL is "#/courses"
INFO | ELEMENT : ✔ Check [Menu button] is visible
INFO | ELEMENT : ✔ Check [Menu button] is enabled
INFO | ELEMENT : ✔ Check [Image] is visible
INFO | ELEMENT : ✔ Check [Title] is visible
INFO | ELEMENT : ✔ Check [Title] text: "MY TEST COURSE TITLE"
INFO | ELEMENT : ✔ Check [Max score] is visible
INFO | ELEMENT : ✔ Check [Max score] text: "Max score: 500"
INFO | ELEMENT : ✔ Check [Min score] is visible
INFO | ELEMENT : ✔ Check [Min score] text: "Min score: 50"
INFO | ELEMENT : ✔ Check [Estimated time] is visible
INFO | ELEMENT : ✔ Check [Estimated time] text: "Estimated time: MY TEST COURSE ESTIMATED TIME"
