"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3067","Edit course","tests.courses.create_course","2026-09-21","passed","2026-09-21","TestEditCourse","test_edit_course","",""
"","1401","Login with wrong email or password:","tests.auth.login","2026-09-21","passed","2026-09-21","TestLoginNegative","test_login_negative","",""
"","1206","✔ Check empty courses list UI","tests.courses.courses_list","2026-09-21","passed","2026-09-21","TestCourses","test_courses","",""
"","1496","✔ Check Dashboard page UI","tests.dashboard","2026-09-21","passed","2026-09-21","TestDashboard","test_dashboard","",""
"","2182","Create course","tests.courses.create_course","2026-09-21","passed","2026-09-21","TestCreateCourse","test_create_course","",""
"","1651","Login with wrong email or password:","tests.auth.login","2026-09-21","passed","2026-09-21","TestLoginNegative","test_login_negative","",""
"","1528","Registration successful","tests.auth.registration","2026-09-21","passed","2026-09-21","TestRegistration","test_registration","",""
"","1031","Registration-link redirect","tests.auth.login","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"","1079","Login-link redirect","tests.auth.registration","2026-09-21","passed","2026-09-21","TestRegistration","test_registration","",""
"","1803","Login with wrong email or password:","tests.auth.login","2026-09-21","passed","2026-09-21","TestLoginNegative","test_login_negative","",""
"","2440","Login successful","tests.auth.login","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
